# x exact prior analysis
7.265625000000000000e-01 2.655737117053070806e-01 2.560803195957749301e-01 2.563164817518575611e-01
7.304687500000000000e-01 2.655737117053070806e-01 2.557979265010870695e-01 2.559277239242117585e-01
7.343750000000000000e-01 2.655737117053070806e-01 2.561503449904967700e-01 2.561731453946479165e-01
7.382812500000000000e-01 2.655737117053070806e-01 2.569615953064824931e-01 2.568605471207938695e-01
7.421875000000000000e-01 2.655737117053070806e-01 2.580179701603754761e-01 2.576940238206731904e-01
7.460937500000000000e-01 2.655737117053070806e-01 2.594237305037110364e-01 2.585308127180606097e-01
7.500000000000000000e-01 2.655737117053070806e-01 2.617425806465033533e-01 2.597592707085326635e-01
7.539062500000000000e-01 2.655737117053070806e-01 2.645694608687015892e-01 2.613935096244818235e-01
7.578125000000000000e-01 2.655737117053070806e-01 2.676092312576162646e-01 2.638298526660433074e-01
7.617187500000000000e-01 2.655737117053070806e-01 2.699700547328626188e-01 2.666467861083904878e-01
7.656250000000000000e-01 2.655737117053070806e-01 2.720002798014410361e-01 2.696930696496963042e-01
7.695312500000000000e-01 2.655737117053070806e-01 2.757211300906274309e-01 2.744740621204411757e-01
7.734375000000000000e-01 2.655737117053070806e-01 2.823880720360399388e-01 2.822518882373626914e-01
7.773437500000000000e-01 2.655737117053070806e-01 2.919819719771634126e-01 2.937655260710271832e-01
7.812500000000000000e-01 2.655737117053070806e-01 3.035892190097249643e-01 3.083034268814236478e-01
7.851562500000000000e-01 2.655737117053070806e-01 3.099854948296409951e-01 3.142278269059440854e-01
7.890625000000000000e-01 2.655737117053070806e-01 3.094735017510272246e-01 3.090580780893280033e-01
7.929687500000000000e-01 2.655737117053070806e-01 3.022795634456786895e-01 2.928454717282936715e-01
7.968750000000000000e-01 2.655737117053070806e-01 2.881056246421985767e-01 2.692077053279732790e-01
8.007812500000000000e-01 2.655737117053070806e-01 2.714516389621194348e-01 2.529287458993974558e-01
8.046875000000000000e-01 2.655737117053070806e-01 2.559494751352277553e-01 2.488237712947320990e-01
8.085937500000000000e-01 2.655737117053070806e-01 2.422483558256839087e-01 2.560793804007783780e-01
8.125000000000000000e-01 2.655737117053070806e-01 2.296759256111746139e-01 2.749834435804142663e-01
8.164062500000000000e-01 2.655737117053070806e-01 2.179657233306853958e-01 2.985262161609333331e-01
8.203125000000000000e-01 2.655737117053070806e-01 2.089856137729644292e-01 3.149661415950920085e-01
8.242187500000000000e-01 2.655737117053070806e-01 1.986417644084411682e-01 3.047233526087000377e-01
8.281250000000000000e-01 2.655737117053070806e-01 1.865715519229061425e-01 2.408564073228449676e-01
8.320312500000000000e-01 1.250000000000000000e-01 1.746599636260220412e-01 1.575560315782914556e-01
8.359375000000000000e-01 1.250000000000000000e-01 1.644229316389162476e-01 1.165964929676728684e-01
8.398437500000000000e-01 1.250000000000000000e-01 1.539251070292485257e-01 1.084895687718896023e-01
8.437500000000000000e-01 1.250000000000000000e-01 1.454758107822994584e-01 1.116456237063818691e-01
8.476562500000000000e-01 1.250000000000000000e-01 1.367520489949795026e-01 1.180409669152654023e-01
8.515625000000000000e-01 1.250000000000000000e-01 1.288812126788995704e-01 1.239146804701410226e-01
8.554687500000000000e-01 1.250000000000000000e-01 1.262537442239465846e-01 1.259560472933855535e-01
8.593750000000000000e-01 1.250000000000000000e-01 1.257074295477723369e-01 1.265268142544422603e-01
8.632812500000000000e-01 1.250000000000000000e-01 1.255752324781926332e-01 1.267603027119057202e-01
8.671875000000000000e-01 1.250000000000000000e-01 1.255801345925168788e-01 1.268859577411292350e-01
8.710937500000000000e-01 1.250000000000000000e-01 1.256778450470993902e-01 1.269612447186783122e-01
8.750000000000000000e-01 1.250000000000000000e-01 1.258429185738953460e-01 1.270114978554252594e-01
8.789062500000000000e-01 1.250000000000000000e-01 1.260428892265766376e-01 1.270432562452116776e-01
8.828125000000000000e-01 1.250000000000000000e-01 1.262412928114842181e-01 1.270548603075519756e-01
8.867187500000000000e-01 1.250000000000000000e-01 1.264045772182597338e-01 1.270449876941411038e-01
8.906250000000000000e-01 1.250000000000000000e-01 1.265079107723480201e-01 1.270141232930244723e-01
8.945312500000000000e-01 1.250000000000000000e-01 1.265387099685431616e-01 1.269630379738861670e-01
8.984375000000000000e-01 1.250000000000000000e-01 1.264992610506275317e-01 1.268920577311699882e-01
9.023437500000000000e-01 1.250000000000000000e-01 1.264073307780581301e-01 1.268034679829723732e-01
9.062500000000000000e-01 1.250000000000000000e-01 1.262924756037667184e-01 1.267054794992346634e-01
9.101562500000000000e-01 1.250000000000000000e-01 1.261896602326654515e-01 1.266147612494988584e-01
9.140625000000000000e-01 1.250000000000000000e-01 1.261318775930513336e-01 1.265560443691911841e-01
9.179687500000000000e-01 1.250000000000000000e-01 1.261380557575464967e-01 1.265456730222389026e-01
9.218750000000000000e-01 1.250000000000000000e-01 1.261956629785042638e-01 1.265709340832444074e-01
9.257812500000000000e-01 1.250000000000000000e-01 1.262785284487024096e-01 1.266070122747200155e-01
9.296875000000000000e-01 1.250000000000000000e-01 1.263582656421121386e-01 1.266273312124600037e-01
9.335937500000000000e-01 1.250000000000000000e-01 1.264107687206729169e-01 1.266092733835780526e-01
9.375000000000000000e-01 1.250000000000000000e-01 1.264201921583631982e-01 1.265376533425630057e-01
9.414062500000000000e-01 1.250000000000000000e-01 1.263806358695053478e-01 1.264067281880420224e-01
9.453125000000000000e-01 1.250000000000000000e-01 1.262962222140560642e-01 1.262215544497546915e-01
9.492187500000000000e-01 1.250000000000000000e-01 1.261804264089247396e-01 1.259989494646162889e-01
9.531250000000000000e-01 1.250000000000000000e-01 1.260544905749677869e-01 1.257669143558598490e-01
9.570312500000000000e-01 1.250000000000000000e-01 1.259446718508521468e-01 1.255616072128959981e-01
9.609375000000000000e-01 1.250000000000000000e-01 1.258789745935119109e-01 1.254224254794150395e-01
9.648437500000000000e-01 1.250000000000000000e-01 1.258837139583252607e-01 1.253861671891374763e-01
9.687500000000000000e-01 1.250000000000000000e-01 1.259768285247797326e-01 1.254765201791228080e-01
9.726562500000000000e-01 1.250000000000000000e-01 1.261540360627620150e-01 1.256849315953139368e-01
9.765625000000000000e-01 1.250000000000000000e-01 1.264020876478312849e-01 1.259885930080012206e-01
9.804687500000000000e-01 1.250000000000000000e-01 1.267045579033931890e-01 1.263600645489285357e-01
9.843750000000000000e-01 1.250000000000000000e-01 1.270433215136095861e-01 1.267710566173127218e-01
9.882812500000000000e-01 1.250000000000000000e-01 1.273997580656723305e-01 1.271950967428488732e-01
9.921875000000000000e-01 1.250000000000000000e-01 1.277556750652531492e-01 1.276090377409893062e-01
9.960937500000000000e-01 1.250000000000000000e-01 1.280940692181450624e-01 1.279937327550500492e-01
